No;Title;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
162;QUANTUM-AUGMENTABLE HYBRID ENCRYPTION SYSTEM AND METHOD;"GONCALVES BRIAN [CA] 
MASHATAN ATEFEH [CA] 
FALLAH JAY [CA] 
BYRNE KRISTOPHER [CA] 
SIDDAVAATAM PRATHAP [CA]";"NXM LABS CANADA INC [CA] 
RYERSON UNIV [CA]";US2020259647A1;2019-02-12;"H04L9/08 
H04L9/30 
H04L9/32";"H04L9/0825 (EP,US) 
H04L9/0869 (EP,US) 
H04L9/14 (EP) 
H04L9/30 (US) 
H04L9/3093 (EP) 
H04L9/3236 (US) 
G06N10/00 (EP,US)";2020-08-13;2020-08-13;071945367
163;METHOD AND SYSTEM FOR THE GENERATION OF OPTICAL MULTIPARTITE QUANTUM STATES;"REIMER CHRISTIAN [CA] 
KUES MICHAEL [CA] 
WETZEL BENJAMIN [CA] 
ROZTOCKI PIOTR [CA] 
JESTIN YOANN [CA] 
GRAZIOSO FABIO [CA] 
MORANDOTTI ROBERTO [CA]";INST NAT DE LA RECH SCIENT [CA];WO2016168920A1;2015-04-20;"B82Y10/00 
G02F1/35 
G06N99/00";"B82Y10/00 (EP,US) 
G02F1/35 (EP,US) 
G02F1/3536 (EP,US) 
G02F1/365 (EP,US) 
G02F1/39 (EP,US) 
G06N10/00 (EP,US) 
G06N99/00 (US) 
B82Y20/00 (US) 
G02F1/354 (EP,US) 
G02F2203/12 (EP,US) 
G02F2203/15 (EP,US) 
Y10S977/94 (EP,US)";2016-10-27;2016-10-27;057142777
164;Generating shared secrets for lattice-based cryptographic protocols;"GUTOSKI GUSTAV MICHAEL [CA] 
STRUIK MARINUS [CA]";ISARA CORP [CA];US9698986B1;2016-09-23;"H04L9/08 
H04L9/30";"H04L9/0816 (US) 
H04L9/0838 (EP,US) 
H04L9/30 (US) 
H04L9/3093 (EP,US) 
H04L2209/30 (EP,US)";2017-07-04;2017-07-04;059191873
165;SYSTEM AND METHOD FOR QUANTUM COMPUTER CALIBRATION AND PERFORMANCE ESTIMATION;"SILVA MARCUS [CA] 
ROETTELER MARTIN [US]";"NEC LAB AMERICA INC [US] 
SILVA MARCUS [CA] 
ROETTELER MARTIN [US]";"US2009259905A1 
US8089286B2";2008-04-15;"G06F11/30 
H04L1/00 
G01R29/26 
G01R35/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2009-10-15 
2012-01-03";2009-10-15;041164985
166;SYSTEMS AND METHODS FOR QUANTUM COMPUTATION;"YARKONI SHEIR [CA] 
LANTING TREVOR MICHAEL [CA] 
BOOTHBY THOMAS J [CA] 
KING ANDREW DOUGLAS [CA] 
ANDRIYASH EVGENY A [CA] 
AMIN MOHAMMAD H [CA]";"D-WAVE SYSTEMS INC [CA] 
YARKONI SHEIR [CA]";WO2017214293A1;2016-06-08;"G06N99/00 
B82Y10/00";"B82Y10/00 (US) 
G06N10/00 (EP,US) 
G06N3/0445 (EP,US) 
G06N3/0472 (EP,US) 
G06N7/08 (US) 
B82Y10/00 (EP)";2017-12-14;2017-12-14;060578145
167;Hybrid Quantum-Classical Computer for Bayesian Inference with Engineered Likelihood Functions for Robust Amplitude Estimation;"WANG GUOMING [CA] 
KOH ENSHAN DAX [US] 
JOHNSON PETER D [US] 
CAO YUDONG [US] 
DALLAIRE-DEMERS PIERRE-LUC [CA]";ZAPATA COMPUTING INC [US];US2020394537A1;2019-06-14;"G06N10/00 
G06N5/04";"G06N10/00 (EP,IL,US) 
G06N5/04 (IL,US) 
G06N7/005 (EP,IL)";2020-12-17;2020-12-17;073746284
168;SYSTEMS, METHODS AND APPARATUS FOR PROTEIN FOLDING SIMULATION;"ROSE GEORDIE [CA] 
MACREADY WILLIAM G [CA] 
BLOUDOFF PAUL S [CA]";;US2008052055A1;2006-07-28;G06G7/48;"G16B15/00 (EP,US) 
G16B15/20 (EP,US)";2008-02-28;2008-02-28;039197764
169;METHODS AND SYSTEMS FOR QUANTUM SIMULATION OF MOLECULAR AND SPIN SYSTEMS;MATSUURA SHUNJI [CA];1QB INF TECH INC [CA];WO2021207847A1;2020-04-17;"G06J1/00 
G06N10/00";"G06N10/20 (EP) 
G06N10/60 (EP) 
G06N5/003 (EP) 
G06N10/40 (EP)";2021-10-21;2021-10-21;078083476
170;QUANTUM ANNEALING DEBUGGING SYSTEMS AND METHODS;"REINHARDT STEVEN P [US] 
KING ANDREW D [CA] 
SWENSON LOREN J [CA] 
WILKINSON WARREN T E [CA] 
LANTING TREVOR MICHAEL [CA]";"D WAVE SYSTEMS INC [CA] 
D WAVE SYSTEMS INC A BRITISH COLUMBIA COMPANY [CA]";"US11263547B2 
US2018218281A1";2017-01-30;"G06N99/00 
G05B19/042 
G06N10/00";"G05B19/042 (US) 
G06N10/00 (EP,US) 
G05B2219/25071 (US)";"2018-08-02 
2022-03-01";2018-08-02;062980089
171;SYSTEMS AND METHODS FOR EFFICIENT INPUT AND OUTPUT TO QUANTUM PROCESSORS;"BOOTHBY KELLY T R [CA] 
BERKLEY ANDREW J [CA] 
RICH CHRISTOPHER B [CA]";D WAVE SYSTEMS INC [CA];US2020371974A1;2019-05-22;"G06F13/20 
G06F13/42 
G06F9/30 
G06N10/00";"G06F13/20 (EP,US) 
G06F13/42 (EP,US) 
G06F9/30134 (US) 
G06N10/00 (EP,US)";2020-11-26;2020-11-26;073456739
172;AUTOMATED UPDATES FOR ENCRYPTED ATTACHED, NETWORK OR CLOUD DATA STORAGE SYSTEMS;BAINS INDERJIT [CA];ARCTEC MOBILE INC [CA];WO2017124179A1;2016-01-21;"G06F12/16 
G06F21/62 
H04L12/16 
H04L12/24";"G06F11/1451 (EP) 
G06F11/1458 (EP) 
G06F12/16 (EP) 
G06F21/62 (EP) 
G06F21/6218 (EP)";2017-07-27;2017-07-27;059361139
173;WHITENOISE SECURE CIRCUIT DESIGN IMPLEMENTATION TECHNIQUES TO PREVENT POWER ANALYSIS ATTACKS AND OTHER SIDE CHANNEL ATTACKS, SECURE OTHER PHYSICAL CRYPTOSYSTEM IMPLEMENTATIONS, AND IMPLEMENTATION OF WHITENOISE INTO LOW COST MICRO PROCESSING AND SMART COMPONENTS RETAINING ONE-TIME-PAD CHARACTERISTICS;BRISSON ANDRE J [CA];BRISSON ANDRE J [CA];CA2902587A1;2015-09-01;G06F21/75;G06F21/755 (EP,US);2017-03-01;2017-03-01;058185892
174;SYSTEM AND METHOD FOR CONTROLLING FILM THICKNESS, AND FILM DEPOSITION SYSTEM AND METHOD USING SAME;"BOULANGER JONATHAN [CA] 
PITTS DAVID [CA] 
CAMPBELL ANDREW [CA] 
SMITH ERIK [CA] 
CLARKE PAUL [CA] 
BRENNER TIMOTHY [CA] 
MILLER MIKE [CA] 
REYNOLDS CRAIG [CA]";ANGSTROM ENG INC [CA];WO2022067433A1;2020-09-30;"C23C14/04 
C23C14/50 
C23C14/54";"C23C14/04 (EP) 
C23C14/50 (EP) 
C23C14/54 (EP)";2022-04-07;2022-04-07;080949217
175;SYSTEMS AND METHODS OF FINDING QUANTUM BINARY OPTIMIZATION PROBLEMS;ISRAEL ROBERT [CA];DWAVE SYS INC [CA];US2015193692A1;2013-11-19;"G06N7/00 
G06N99/00";"G06F17/11 (EP,US) 
G06N10/00 (EP,US)";2015-07-09;2015-07-09;053495455
176;SYSTEMS, DEVICES, AND METHODS FOR CONTROLLABLY COUPLING QUBITS;"JOHNSON MARK W [CA] 
BUNYK PAUL I [CA]";DWAVE SYS INC [CA];"US2008274898A1 
US7800395B2";2007-05-02;"H01B12/00 
G06N99/00 
H03K19/195";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2008-11-06 
2010-09-21";2008-11-06;039939954
177;QUANTUM REJECTION SAMPLING;"OZOLS MARIS [CA] 
ROETTELER MARTIN [US] 
ROLAND JEREMIE [BE] 
ROLAND JÉRÉMIE [BE]";"OZOLS MARIS [CA] 
ROETTELER MARTIN [US] 
ROLAND JEREMIE [BE] 
NEC LAB AMERICA INC [US] 
ROLAND JÉRÉMIE [BE]";"US2012210111A1 
US8892857B2";2011-02-14;"G06F9/00 
B82Y10/00 
G06F15/177 
G06N99/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2012-08-16 
2014-11-18";2012-08-16;046637816
178;Dynamic Identity Verification and Authentication, Dynamic Distributed Key Infrastructures, Dynamic Distributed Key Systems and Method for Identity Management, Authentication Servers, Data Security and Preventing Man-in-the-Middle Attacks, Side Channel Attacks, Botnet Attacks, and Credit Card and Financial Transaction Fraud, Mitigating Biometric False Positives and False Negatives, and Controlling Life of Accessible Data in the Cloud;BRISSON ANDRE JACQUES [CA];BRISSON ANDRE JACQUES [CA];US2013227286A1;2006-04-25;H04L29/06;"H04L63/062 (EP,US) 
H04L63/08 (EP,US) 
H04L9/0819 (EP,US) 
H04L9/083 (EP,US) 
H04L9/3226 (EP,US) 
H04L9/3234 (EP,US)";2013-08-29;2013-08-29;049004602
179;SYSTEMS AND METHODS FOR HYBRID ANALOG AND DIGITAL PROCESSING OF A COMPUTATIONAL PROBLEM USING MEAN FIELD UPDATES;"BERNOUDY WILLIAM W [CA] 
AMIN MOHAMMAD H [CA] 
KING JAMES A [CA] 
HILTON JEREMY P [CA] 
HARRIS RICHARD G [CA] 
BERKLEY ANDREW J [CA] 
BOOTHBY KELLY T R [CA]";D WAVE SYSTEMS INC [CA];US2020311591A1;2019-03-26;"G06F17/18 
G06N10/00";"G06F17/18 (US) 
G06N10/00 (EP,US)";2020-10-01;2020-10-01;072606020
180;SYSTEMS AND METHODS FOR INCREASING ANALOG PROCESSOR CONNECTIVITY;"HILTON JEREMY P [CA] 
ROY AIDAN PATRICK [CA] 
BUNYK PAUL I [CA] 
KING ANDREW DOUGLAS [CA] 
BOOTHBY TOMAS J [CA] 
HARRIS RICHARD G [CA] 
DENG CHUNQING [CA] 
BOOTHBY KELLY T R [CA]";"D-WAVE SYSTEMS INC [CA] 
D WAVE SYSTEMS INC [CA]";"US10268622B2 
US2017220510A1";2016-01-29;"G06F13/36 
G06F13/40 
G06N99/00";"G06F13/36 (EP,US) 
G06F13/4068 (EP,US) 
G06N10/00 (EP,US) 
G06N20/00 (US)";"2017-08-03 
2019-04-23";2017-08-03;059385592
181;QUANTUM AND DIGITAL PROCESSOR HYBRID SYSTEMS AND METHODS TO SOLVE PROBLEMS;AMIN MOHAMMAD [CA];"AMIN MOHAMMAD [CA] 
DWAVE SYS INC [CA]";"US2011060710A1 
US8175995B2";2008-06-10;"G06F15/18 
G06F17/00";"G06F15/16 (US) 
G06F9/44 (US) 
G06N10/00 (EP,US) 
Y10S977/933 (EP,US)";"2011-03-10 
2012-05-08";2009-12-17;041417376
182;METHOD AND SYSTEM FOR EFFICIENT DECOMPOSITION OF SINGLE-QUBIT QUANTUM GATES INTO FIBONACCI ANYON BRAID CIRCUITS;"KLIUCHNIKOV VADYM [CA] 
BOCHAROV ALEXEI [US] 
SVORE KRYSTA M [US]";"MICROSOFT CORP [US] 
MICROSOFT TECHNOLOGY LICENSING LLC [US]";"US2015106418A1 
US9721209B2";2013-10-14;"G06N99/00 
B82Y10/00";"G06N10/00 (EP,US) 
G06N5/003 (EP) 
G16Z99/00 (CN) 
B82Y10/00 (US)";"2015-04-16 
2017-08-01";2015-04-16;051866325
183;SYSTEMS AND METHODS FOR DEGENERACY MITIGATION IN A QUANTUM PROCESSOR;"BOOTHBY TOMAS J [CA] 
WILKINSON WARREN T E [CA] 
PAVLOV IGOR [CA] 
LANTING TREVOR MICHAEL [CA] 
KING ANDREW DOUGLAS [CA] 
HOSKINSON EMILE M [CA] 
SATO YUKI [CA] 
AMIN MOHAMMAD H [CA] 
RAYMOND JACK R [CA] 
ANDRIYASH EVGENY A [CA] 
BUNYK PAUL I [CA] 
FRECHETTE ALEXANDRE [CA] 
MARSDEN GAELEN [CA] 
CIRIP TOMAS [CA] 
RICH CHRISTOPHER B [CA]";D-WAVE SYSTEMS INC [CA];WO2017075246A1;2015-10-27;G06N99/00;"G06F15/163 (US) 
G06N10/00 (EP,US)";2017-05-04;2017-05-04;058630806
184;SYSTEMS AND METHODS FOR IMPROVING THE PERFORMANCE OF A QUANTUM PROCESSOR BY REDUCING ERRORS;"CHUDAK FABIAN ARIEL [CA] 
RICH CHRISTOPHER B [CA] 
BUNYK PAUL I [CA]";"DWAVE SYS INC [CA] 
D-WAVE SYSTEMS INC [CA]";"US2015032994A1 
US9495644B2";2013-07-24;"G06F15/76 
G06N99/00 
B82Y10/00";"B82Y10/00 (US) 
G06N10/00 (EP,US)";"2015-01-29 
2016-11-15";2015-01-29;052391505
185;SYSTEMS AND METHODS FOR QUANTUM PROCESSING OF DATA;"ROSE GEORDIE [CA] 
GILDERT SUZANNE [CA] 
MACREADY WILLIAM G [CA] 
WALLIMAN DOMINIC CHRISTOPH [CA]";DWAVE SYS INC [CA];WO2014210368A1;2013-06-28;G06N99/00;"G06K9/6247 (EP) 
G06K9/6249 (EP) 
G06K9/6255 (EP) 
G06N10/00 (EP,US) 
G06N20/00 (EP,US) 
G06V10/955 (EP) 
G06K9/6247 (US) 
G06K9/6249 (US) 
G06K9/6255 (US) 
G06V10/955 (US)";2014-12-31;2014-12-31;052116629
186;METHODS AND SYSTEMS FOR HYPERPARAMETER TUNING AND BENCHMARKING;"ROSENBERG GILAD AMIR [CA] 
KUTTIMALAI SILVAN SHIWA [CA] 
VALIANTE ELISABETTA [CA] 
ARAMON BAJESTANI MALIHEH [CA] 
BROWN TAMUNO-TONYE [CA] 
ADOLPHS CLEMENS [CA] 
COLGUR CHADWIN ROSS [CA]";1QB INF TECH INC [CA];WO2022079640A1;2020-10-13;G06F11/34;;2022-04-21;2022-04-21;081207858
187;Systems and methods for reconstructing noise from pauli fidelities;WALLMAN JOEL J [CA];QUANTUM BENCHMARK INC [CA];US10838792B1;2018-03-07;"G06F11/07 
G06F17/16 
G06F17/18 
G06N10/00";"G06F11/0715 (US) 
G06F17/16 (US) 
G06F17/18 (US) 
G06N10/00 (EP,US)";2020-11-17;2020-11-17;073264202
188;VARIATIONALLY AND ADIABATICALLY NAVIGATED QUANTUM EIGENSOLVERS;"MATSUURA SHUNJI [CA] 
YAMAZAKI TAKESHI [CA] 
ZARIBAFIYAN ARMAN [CA] 
RONAGH POOYA [CA]";1QB INF TECH INC [CA];WO2019241879A1;2018-06-18;"G06F17/11 
G06J1/00 
G06N10/00";"G06F17/18 (US) 
G06N10/00 (US) 
G06N10/20 (EP) 
G06N10/60 (EP) 
G06N20/00 (EP) 
G06N20/00 (US)";2019-12-26;2019-12-26;068982564
189;Microsphere optical device;"SMIRNOV ANATOLY YU [CA] 
RASHKEEV SERGEY [US] 
ZAGOSKIN ALEXANDRE M [CA] 
HILTON JEREMY P [CA]";DWAVE SYS INC [US];US2003063426A1;2001-08-29;"H01H47/00 
G02F1/01 
G02F1/09 
G02F1/313 
G06N99/00";"B82Y10/00 (EP,US) 
G02F1/0136 (EP) 
G02F1/09 (EP,US) 
G02F1/313 (EP,US) 
G06N10/00 (EP,US) 
G02F1/0126 (EP,US) 
G02F2203/15 (EP,US)";2003-04-03;2003-04-03;026925715
190;SYSTEMS AND METHODS FOR INCREASING THE ENERGY SCALE OF A QUANTUM PROCESSOR;"LANTING TREVOR MICHAEL [CA] 
ENDERUD COLIN [CA] 
TOLKACHEVA ELENA [CA]";DWAVE SYS INC [CA];WO2015013532A1;2013-07-24;H03K19/195;G06N10/00 (EP,US);2015-01-29;2015-01-29;052391503
191;SYSTEMS, DEVICES, AND METHODS TO INTERACT WITH QUANTUM INFORMATION STORED IN SPINS;"SIMMONS STEPHANIE [CA] 
THEWALT MICHAEL L W [CA]";QOHERENCE INSTR CORP [CA];WO2017089891A1;2015-11-27;"B82B3/00 
B82Y10/00 
G02B6/26 
G06N99/00 
H01L21/02";"B82Y10/00 (EP,US) 
G02B6/12 (US) 
G02B6/12007 (EP,US) 
G02B6/1225 (EP,US) 
G02B6/26 (US) 
G02B6/29341 (EP,US) 
G06N10/00 (EP,US) 
H01L27/20 (US) 
H01L29/0665 (EP,US) 
H01L29/0684 (US) 
H01L29/0692 (EP,US) 
H01L29/127 (EP,US) 
H01L29/167 (US) 
H01L29/36 (EP,US) 
H01L29/66977 (EP,US) 
H01L29/66984 (EP,US) 
H01L29/82 (EP,US) 
G02B2006/12061 (US) 
H01L29/1608 (US) 
H01L29/161 (US)";2017-06-01;2017-06-01;058763065
192;PROBLEM SOLVING USING QUANTUM ANNEALER, USEFUL FOR EXAMPLE IN SEQUENCING, FOR INSTANCE NUCLEIC ACID SEQUENCING;"YARKONI SHEIR [CA] 
BOOTHBY KELLY T R [CA] 
DOUGLASS ADAM [CA]";D WAVE SYSTEMS INC [CA];"US11138511B2 
US2018276550A1";2017-01-13;"G06F19/22 
G06F19/24 
G06N99/00 
G06N5/04 
G06N10/00 
G06N5/00 
G16B30/00 
G16B40/00 
G16B50/00";"G06N10/00 (EP,US) 
G06N5/003 (EP,US) 
G06N5/046 (US) 
G16B30/00 (EP,US) 
G16B30/10 (EP,US) 
G16B40/00 (EP,US) 
G16B50/00 (EP,US)";"2018-09-27 
2021-10-05";2018-09-27;063583443
193;FAULT-TOLERANT SCALABLE MODULAR QUANTUM COMPUTER ARCHITECTURE WITH AN ENHANCED CONTROL OF MULTI-MODE COUPLINGS BETWEEN TRAPPED ION QUBITS;"MONROE CHRISTOPHER [US] 
KIM JUNGSANG [US] 
RAUSSENDORF ROBERT [CA]";"UNIV MARYLAND [US] 
UNIV DUKE [US] 
UNIV BRITISH COLUMBIA [CA]";"US11195117B2 
US2018114138A1";2013-08-02;"G06N99/00 
G06F15/76 
G06N10/00 
G02F1/11";"G06F15/76 (US) 
G06N10/00 (EP,US) 
G02F1/113 (EP,US) 
G06F2015/768 (US)";"2018-04-26 
2021-12-07";2018-01-02;060788933
194;SYSTEMS AND METHODS FOR IMPROVING THE PERFORMANCE OF A QUANTUM PROCESSOR VIA REDUCED READOUTS;RAYMOND JACK [CA];D WAVE SYSTEMS INC [CA];"US10621140B2 
US2018300286A1";2014-09-09;"G06N99/00 
G06F15/76 
G06N10/00";"G06F15/76 (US) 
G06N10/00 (EP,US)";"2018-10-18 
2020-04-14";2016-03-10;055437808
195;Systems and Methods for Local Randomized Benchmarking;"WALLMAN JOEL J [CA] 
EMERSON JOSEPH [CA]";QUANTUM BENCHMARK INC [CA];US2019026211A1;2017-07-23;"G06F11/34 
G06F17/11 
G06N99/00";"G06F11/3428 (US) 
G06F17/11 (US) 
G06N10/00 (EP,US)";2019-01-24;2019-01-24;065019067
196;SYSTEMS, METHODS AND APPARATUS FOR FACTORING NUMBERS;"MACREADY WILLIAM G [CA] 
ROSE GEORDIE [CA] 
LOVE PETER [US]";"MACREADY WILLIAM G [CA] 
ROSE GEORDIE [CA] 
LOVE PETER [US] 
DWAVE SYS INC [CA]";"US2011047201A1 
US8560282B2";2005-07-11;"G06F17/11 
G06J1/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H04L9/0852 (EP,US) 
H04L2209/12 (EP,US)";"2011-02-24 
2013-10-15";2011-02-24;043606159
197;Systems and methods for superconducting devices used in superconducting circuits and scalable computing;"CHRISTOPHER B RICH [CA] 
JAN E S JOHANSSON [CA] 
MARK W JOHNSON [CA] 
PAUL I BUNYK [CA] 
ANDREW J BERKLEY [CA] 
RICHARD G HARRIS [CA] 
TOMAS J BOOTHBY [CA] 
LOREN J SWENSON [CA] 
EMILE M HOSKINSON [CA]";D WAVE SYSTEMS INC [CA];"GB2570988A 
GB2570988B";2016-05-03;G06N10/00;"G06N10/00 (EP,GB,US) 
H01L39/025 (GB,US) 
H01L39/223 (GB) 
H01L39/225 (US) 
H03M1/66 (GB) 
H03M1/66 (EP)";"2019-08-14 
2020-04-29";2017-11-09;060203356
198;ARCHITECTURE FOR LOCAL PROGRAMMING OF QUANTUM PROCESSOR ELEMENTS USING LATCHING QUBITS;BERKLEY ANDREW JOSEPH [CA];DWAVE SYS INC [CA];"US2009319757A1 
US7843209B2";2007-04-25;"G06F15/00 
G06F9/00 
H03K19/195 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2009-12-24 
2010-11-30";2009-12-24;041432460
199;A METHOD FOR SYMMETRIC ASYNCHRONOUS GENERATIVE ENCRYPTION;"BEAUDET JEAN-PHILIPPE [CA] 
DUMAS FRANCOIS [CA]";ZEU CRYPTO NETWORKS INC [CA];WO2021138747A1;2020-01-10;"G06F21/62 
G09C1/00 
H04L9/30 
G06F7/58";"H04L9/0861 (EP) 
H04L9/0891 (EP) 
H04L9/12 (EP) 
H04L9/3239 (EP) 
H04L9/50 (EP)";2021-07-15;2021-07-15;076787390
200;INITIATING AND MONITORING THE EVOLUTION OF SINGLE ELECTRONS WITHIN ATOM-DEFINED STRUCTURES;"WOLKOW ROBERT [CA] 
RASHIDI MOHAMMAD [CA] 
VINE WYATT [CA] 
DIENEL THOMAS [CA] 
LIVADARU LUCIAN [CA] 
HUFF TALEANA [CA] 
RETALLICK JACOB [CA] 
WALUS KONRAD [CA]";QUANTUM SILICON INC [CA];WO2019060999A1;2017-09-28;"B82B3/00 
G06N3/08 
G01Q60/04 
G01Q60/24";"B82Y10/00 (EP) 
G01Q30/10 (US) 
G01Q60/10 (KR,US) 
G01Q60/24 (KR,US) 
G01Q70/14 (US) 
G01Q80/00 (KR,US) 
G06N3/04 (US) 
G06N3/0635 (EP,KR) 
G06N3/08 (EP,KR,US) 
B82Y10/00 (KR) 
G01Q60/10 (EP) 
G01Q60/24 (EP) 
G01Q80/00 (EP) 
G06N20/10 (EP) 
G06N3/0445 (EP,KR) 
G06N3/0472 (EP,KR) 
G06N7/005 (EP,KR) 
H01L29/66977 (EP,KR) 
H01L29/66984 (EP,KR) 
H01L29/7613 (EP,KR)";2019-04-04;2019-04-04;065900249
201;SYSTEMS AND METHODS FOR SOLVING COMBINATORIAL PROBLEMS;"MACREADY WILLIAM G [CA] 
DAHL EDWARD D [US]";DWAVE SYS INC [CA];"US2013282636A1 
US9396440B2";2012-04-19;"G06N99/00 
B82Y10/00 
G06F17/00 
G06N5/00 
G06N5/04";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
G06N5/003 (US) 
G06N5/04 (US)";"2013-10-24 
2016-07-19";2013-10-24;049381062
202;METHOD AND SYSTEM FOR EFFICIENT QUANTUM OPTICAL DESIGN USING NON-LINEAR MAPPINGS;"ASPURU-GUZIK ALAN [CA] 
KRENN MARIO [CA] 
KOTTMAN JAKOB [CA]";GOVERNING COUNCIL UNIV TORONTO [CA];WO2021127779A1;2019-12-22;"G06E3/00 
G06N10/00";"G06N10/60 (EP) 
G06N5/022 (EP)";2021-07-01;2021-07-01;076573536
203;QUANTUM RADIO AND COMMUNICATION PROCESSES;SULLIVAN BENJAMIN ALLEN [CA];SULLIVAN BENJAMIN ALLEN [CA];CA2935881A1;2016-07-13;"H04B10/532 
H04J14/06 
H04L27/00";H04B10/90 (EP);2018-01-13;2018-01-13;060940368
204;A METHOD AND A SYSTEM FOR PULSED EXCITATION OF A NONLINEAR MEDIUM FOR PHOTON PAIR GENERATION;"JESTIN YOANN [CA] 
MORANDOTTI ROBERTO [CA] 
KUES MICHAEL [CA] 
WETZEL BENJAMIN [CA] 
REIMER CHRISTIAN [CA] 
ROZTOCKI PIOTR [CA]";INST NAT RECH SCIENT [CA];"US10505335B2 
US2018048110A1";2015-03-19;"G02B6/293 
H01S3/108 
H01S3/11 
H01S5/14 
H01S3/067 
H01S3/00";"G02B6/29338 (US) 
G02B6/29341 (US) 
H01S3/06791 (EP,US) 
H01S3/108 (US) 
H01S3/1083 (US) 
H01S3/1109 (US) 
H01S3/1112 (EP,US) 
H01S3/1115 (US) 
H01S5/14 (US) 
H01S3/0078 (US) 
H01S3/06754 (US)";"2018-02-15 
2019-12-10";2016-09-22;056919714
205;METHODS AND SYSTEMS FOR SOLVING A PROBLEM ON A QUANTUM COMPUTER;"GENIN SCOTT [CA] 
IZMAYLOV ARTHUR [CA] 
RYABINKIN ILYA [CA] 
IZMAYLOV ARTUR [CA]";OTI LUMIONICS INC [CA];"WO2019229527A2 
WO2019229527A3 
WO2019229527A8";2018-05-31;G06N10/00;"G06F30/20 (US) 
G06N10/00 (EP,US) 
G06N3/0445 (US) 
G06N3/0472 (US) 
G06N5/003 (EP,US) 
H03K19/195 (US) 
G06F2119/06 (US) 
G06N3/0445 (EP) 
G06N3/0472 (EP)";"2019-12-05 
2020-03-05 
2020-01-23";2019-12-05;068698783
206;SYSTEMS, DEVICES, ARTICLES, AND METHODS FOR QUANTUM PROCESSOR ARCHITECTURE;"DOUGLASS ADAM [CA] 
HARRIS RICHARD G [CA] 
LANTING TREVOR MICHAEL [CA] 
KING ANDREW DOUGLAS [CA] 
RAYMOND JACK [CA] 
THOM MURRAY C [CA]";D-WAVE SYSTEMS INC [CA];"WO2016182608A2 
WO2016182608A3";2015-02-10;G06N99/00;"G06F15/803 (US) 
G06N10/00 (EP,US)";"2016-11-17 
2017-01-05";2016-11-17;057248287
207;SYSTEMS AND METHODS FOR QUANTUM BAYESIAN NETWORKS;"XUE YANBO [CA] 
MACREADY WILLIAM G [CA]";D WAVE SYSTEMS INC [CA];US2020019879A1;2018-07-10;"B82Y10/00 
G06N10/00 
G06N20/00 
G06N7/00";"B82Y10/00 (US) 
G06N10/00 (EP,US) 
G06N20/00 (EP,US) 
G06N7/005 (EP,US)";2020-01-16;2020-01-16;069139506
208;SYSTEMS AND METHODS FOR QUANTUM PROCESSING OF DATA;"ROSE GEORDIE [CA] 
GILDERT SUZANNE [CA] 
MACREADY WILLIAM G [CA] 
WALLIMAN DOMINIC CHRISTOPH [CA]";"D-WAVE SYSTEMS INC [CA] 
D WAVE SYSTEMS INC [CA]";"US10318881B2 
US2016321559A1";2013-06-28;"G06N99/00 
G06N10/00 
G06N20/00";"G06N10/00 (EP,US) 
G06N20/00 (EP,US) 
G06N99/00 (US)";"2016-11-03 
2019-06-11";2016-11-03;057205220
209;ATOMISTIC QUANTUM DOTS;"DILABIO GINO A [CA] 
WOLKOW ROBERT A [CA] 
PITTERS JASON L [CA]";"CA NAT RESEARCH COUNCIL [CA] 
UNIV ALBERTA [CA]";"KR101619292B1 
KR20110055516A";2008-06-17;"G06N99/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L29/66977 (US) 
H01L39/22 (KR) 
H01L49/006 (EP,US) 
Y10S977/774 (EP,US) 
Y10S977/782 (EP,US) 
Y10S977/933 (EP,US)";"2011-05-25 
2016-05-10";2009-12-23;041434498
210;SAMPLING FROM A SET SPINS WITH CLAMPING;HAMZE FIRAS [CA];DWAVE SYS INC [CA];US2015161524A1;2013-12-05;"G06N7/00 
G06N99/00";"G06N10/00 (EP,US) 
G06N7/005 (US)";2015-06-11;2015-06-11;053271533
211;KINETIC INDUCTANCE DEVICES, METHODS FOR FABRICATING KINETIC INDUCTANCE DEVICES, AND ARTICLES EMPLOYING THE SAME;SWENSON LOREN [CA];D WAVE SYSTEMS INC [CA];WO2021231224A1;2020-05-11;"H01L39/02 
H01L39/12 
H01L39/24";"H01L39/025 (EP) 
H01L39/14 (EP) 
H01L39/223 (EP) 
H01L39/2493 (EP)";2021-11-18;2021-11-18;078524877
